seed_char,home_row_char,frequency
z,r,3942690
z,t,4202320
q,o,4209786
q,n,4270682
j,n,4365574
j,r,4599006
j,t,4961558
q,t,5147072
x,r,7436622
j,e,8034958
x,s,8386926
w,t,8663170
k,r,10796262
k,t,13273956
k,e,13927344
x,i,27515784
x,a,33290636
w,e,63363298
z,e,67766940
q,e,80332948
x,t,101636940
x,e,329929122
