alpha,frequency
z,219036766
j,284698658
k,304223680
q,332261214
w,594309082
x,807949328
v,944698518
g,1007782822
y,1010332476
f,1114260392
h,1149737024
b,1367874384
d,1714563582
m,1923628592
u,2060024428
p,2346519526
c,2537088722
l,2611984504
o,2942861004
n,3180459652
i,3704978478
s,3758953744
r,4081593912
a,5042918618
t,5554102708
e,7083200918
